"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","totage","femASL","manASL","sumgenASL","sumageASL","hpt_fem","hpt_male","hpt","nohpt","hptASL","nohptASL","sumhptASL","hf_fem","hf_male","hf","nohf","hfASL","nohfASL","sumhfASL"
"ROMA 1","""20_24""",21246,22704,2019,2691,23265,25395,48660,599352,524383,1123735,1123735,46,92,138,48522,190739,932996,1123735,7,9,16,48644,15951,1107784,1123735
"ROMA 1","""25_29""",22739,24008,3345,3999,26084,28007,54091,599352,524383,1123735,1123735,51,124,175,53916,190739,932996,1123735,8,18,26,54065,15951,1107784,1123735
"ROMA 1","""30_34""",25478,25326,5175,5398,30653,30724,61377,599352,524383,1123735,1123735,123,199,322,61055,190739,932996,1123735,19,15,34,61343,15951,1107784,1123735
"ROMA 1","""35_39""",29493,28068,7007,7252,36500,35320,71820,599352,524383,1123735,1123735,247,523,770,71050,190739,932996,1123735,9,29,38,71782,15951,1107784,1123735
"ROMA 1","""40_44""",34333,31281,8083,7468,42416,38749,81165,599352,524383,1123735,1123735,734,1364,2098,79067,190739,932996,1123735,29,57,86,81079,15951,1107784,1123735
"ROMA 1","""45_49""",42546,37423,8197,6614,50743,44037,94780,599352,524383,1123735,1123735,2011,3179,5190,89590,190739,932996,1123735,52,132,184,94596,15951,1107784,1123735
"ROMA 1","""50_54""",46163,40009,8260,5454,54423,45463,99886,599352,524383,1123735,1123735,4456,5884,10340,89546,190739,932996,1123735,86,242,328,99558,15951,1107784,1123735
"ROMA 1","""55_59""",45148,39420,6797,4047,51945,43467,95412,599352,524383,1123735,1123735,7254,9501,16755,78657,190739,932996,1123735,197,441,638,94774,15951,1107784,1123735
"ROMA 1","""60_64""",37402,31838,5394,2694,42796,34532,77328,599352,524383,1123735,1123735,9420,11052,20472,56856,190739,932996,1123735,297,592,889,76439,15951,1107784,1123735
"ROMA 1","""65_69""",31707,25722,3378,1579,35085,27301,62386,599352,524383,1123735,1123735,11342,11852,23194,39192,190739,932996,1123735,458,793,1251,61135,15951,1107784,1123735
"ROMA 1","""70_74""",30205,23065,1796,841,32001,23906,55907,599352,524383,1123735,1123735,14268,12871,27139,28768,190739,932996,1123735,709,1120,1829,54078,15951,1107784,1123735
"ROMA 1","""75_79""",26728,18935,938,454,27666,19389,47055,599352,524383,1123735,1123735,15407,11780,27187,19868,190739,932996,1123735,1152,1305,2457,44598,15951,1107784,1123735
"ROMA 1","""80_84""",24704,16253,519,256,25223,16509,41732,599352,524383,1123735,1123735,16370,10990,27360,14372,190739,932996,1123735,1629,1481,3110,38622,15951,1107784,1123735
"ROMA 1","""85_100""",28188,13866,455,193,28643,14059,42702,599352,524383,1123735,1123735,19800,9571,29371,13331,190739,932996,1123735,3208,1820,5028,37674,15951,1107784,1123735
"ROMA 2","""00_04""",22905,23817,4004,4187,26909,28004,54913,721182,673619,1394801,1394801,13,22,35,54878,260122,1134679,1394801,15,14,29,54884,20488,1374313,1394801
"ROMA 2","""05_09""",27039,28319,4511,4609,31550,32928,64478,721182,673619,1394801,1394801,30,36,66,64412,260122,1134679,1394801,6,7,13,64465,20488,1374313,1394801
"ROMA 2","""10_14""",28765,30808,3834,4081,32599,34889,67488,721182,673619,1394801,1394801,40,56,96,67392,260122,1134679,1394801,0,10,10,67478,20488,1374313,1394801
"ROMA 2","""15_19""",27819,29530,2696,3049,30515,32579,63094,721182,673619,1394801,1394801,52,126,178,62916,260122,1134679,1394801,0,15,15,63079,20488,1374313,1394801
"ROMA 2","""20_24""",26633,29717,2376,3864,29009,33581,62590,721182,673619,1394801,1394801,60,126,186,62404,260122,1134679,1394801,9,16,25,62565,20488,1374313,1394801
"ROMA 2","""25_29""",29377,32012,4543,5882,33920,37894,71814,721182,673619,1394801,1394801,82,159,241,71573,260122,1134679,1394801,10,15,25,71789,20488,1374313,1394801
"ROMA 2","""30_34""",34095,35239,6875,7792,40970,43031,84001,721182,673619,1394801,1394801,181,377,558,83443,260122,1134679,1394801,7,31,38,83963,20488,1374313,1394801
"ROMA 2","""35_39""",38838,39348,7856,9812,46694,49160,95854,721182,673619,1394801,1394801,472,927,1399,94455,260122,1134679,1394801,26,39,65,95789,20488,1374313,1394801
"ROMA 2","""40_44""",43839,43939,8158,9901,51997,53840,105837,721182,673619,1394801,1394801,1243,2304,3547,102290,260122,1134679,1394801,37,91,128,105709,20488,1374313,1394801
"ROMA 2","""45_49""",52129,49501,7670,7742,59799,57243,117042,721182,673619,1394801,1394801,3112,5087,8199,108843,260122,1134679,1394801,73,190,263,116779,20488,1374313,1394801
"ROMA 2","""50_54""",53469,49678,7301,5824,60770,55502,116272,721182,673619,1394801,1394801,6346,8913,15259,101013,260122,1134679,1394801,161,331,492,115780,20488,1374313,1394801
"ROMA 2","""55_59""",53430,48542,5491,3628,58921,52170,111091,721182,673619,1394801,1394801,10667,13887,24554,86537,260122,1134679,1394801,262,541,803,110288,20488,1374313,1394801
"ROMA 2","""60_64""",44958,39113,4166,2220,49124,41333,90457,721182,673619,1394801,1394801,13728,15785,29513,60944,260122,1134679,1394801,390,824,1214,89243,20488,1374313,1394801
"ROMA 2","""65_69""",38090,32433,2409,1217,40499,33650,74149,721182,673619,1394801,1394801,16329,16806,33135,41014,260122,1134679,1394801,617,1067,1684,72465,20488,1374313,1394801
"ROMA 2","""70_74""",35692,28876,1199,620,36891,29496,66387,721182,673619,1394801,1394801,19711,17708,37419,28968,260122,1134679,1394801,979,1399,2378,64009,20488,1374313,1394801
"ROMA 2","""75_79""",30114,22756,545,257,30659,23013,53672,721182,673619,1394801,1394801,19812,15624,35436,18236,260122,1134679,1394801,1459,1535,2994,50678,20488,1374313,1394801
"ROMA 2","""80_84""",28626,19132,285,134,28911,19266,48177,721182,673619,1394801,1394801,20906,13872,34778,13399,260122,1134679,1394801,2164,1826,3990,44187,20488,1374313,1394801
"ROMA 2","""85_100""",31243,15946,202,94,31445,16040,47485,721182,673619,1394801,1394801,23705,11818,35523,11962,260122,1134679,1394801,4051,2271,6322,41163,20488,1374313,1394801
"ROMA 3","""00_04""",10165,10931,1582,1659,11747,12590,24337,344470,314855,659325,659325,7,4,11,24326,117242,542083,659325,6,7,13,24324,9141,650184,659325
"ROMA 3","""05_09""",13275,13735,1837,1938,15112,15673,30785,344470,314855,659325,659325,14,16,30,30755,117242,542083,659325,0,0,0,30785,9141,650184,659325
"ROMA 3","""10_14""",14753,15593,1653,1777,16406,17370,33776,344470,314855,659325,659325,22,25,47,33729,117242,542083,659325,4,4,8,33768,9141,650184,659325
"ROMA 3","""15_19""",14034,15135,1272,1441,15306,16576,31882,344470,314855,659325,659325,30,55,85,31797,117242,542083,659325,0,0,0,31882,9141,650184,659325
"ROMA 3","""20_24""",13177,14554,1179,1709,14356,16263,30619,344470,314855,659325,659325,28,72,100,30519,117242,542083,659325,4,14,18,30601,9141,650184,659325
"ROMA 3","""25_29""",13323,14124,1835,2210,15158,16334,31492,344470,314855,659325,659325,37,69,106,31386,117242,542083,659325,7,6,13,31479,9141,650184,659325
"ROMA 3","""30_34""",14551,14727,2844,2921,17395,17648,35043,344470,314855,659325,659325,58,163,221,34822,117242,542083,659325,5,11,16,35027,9141,650184,659325
"ROMA 3","""35_39""",16823,16507,3665,4021,20488,20528,41016,344470,314855,659325,659325,183,343,526,40490,117242,542083,659325,5,16,21,40995,9141,650184,659325
"ROMA 3","""40_44""",20974,19508,4047,4214,25021,23722,48743,344470,314855,659325,659325,461,845,1306,47437,117242,542083,659325,12,28,40,48703,9141,650184,659325
"ROMA 3","""45_49""",26699,24504,4015,3371,30714,27875,58589,344470,314855,659325,659325,1548,2215,3763,54826,117242,542083,659325,26,82,108,58481,9141,650184,659325
"ROMA 3","""50_54""",27897,25646,3870,2721,31767,28367,60134,344470,314855,659325,659325,3109,4260,7369,52765,117242,542083,659325,63,163,226,59908,9141,650184,659325
"ROMA 3","""55_59""",25713,24264,2746,1752,28459,26016,54475,344470,314855,659325,659325,4838,6303,11141,43334,117242,542083,659325,104,305,409,54066,9141,650184,659325
"ROMA 3","""60_64""",20498,18081,2152,1150,22650,19231,41881,344470,314855,659325,659325,5896,6782,12678,29203,117242,542083,659325,168,374,542,41339,9141,650184,659325
