"DENOMINAZI","classi_eta","ita_f","ita_m","stran_f","stran_m","fem","man","mar_ageASL","mar_femASL","mar_manASL","tot_genASL","tot_ageASL","hf_fem","hf_male","hpt_fem","hpt_male","tot_hpt","tot_nohpt","male_nohpt","fem_nohpt","tot_hf","tot_nohf","male_nohf","fem_nohf","mar_hptASL","mar_nohptASL","mar_hfASL","mar_nohfASL","mar_hptmanASL","mar_nohptmanASL","mar_hptfemASL","mar_nohptfemASL","mar_hfmanASL","mar_nohfmanASL","mar_hffemASL","mar_nohffemASL"
"ROMA 1","55_59",45148,39420,6797,4047,51945,43467,95412,599352,524383,1123735,1123735,197,441,7254,9501,16755,78657,33966,44691,638,94774,43026,51748,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","60_64",37402,31838,5394,2694,42796,34532,77328,599352,524383,1123735,1123735,297,592,9420,11052,20472,56856,23480,33376,889,76439,33940,42499,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","65_69",31707,25722,3378,1579,35085,27301,62386,599352,524383,1123735,1123735,458,793,11342,11852,23194,39192,15449,23743,1251,61135,26508,34627,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","70_74",30205,23065,1796,841,32001,23906,55907,599352,524383,1123735,1123735,709,1120,14268,12871,27139,28768,11035,17733,1829,54078,22786,31292,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","75_79",26728,18935,938,454,27666,19389,47055,599352,524383,1123735,1123735,1152,1305,15407,11780,27187,19868,7609,12259,2457,44598,18084,26514,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","80_84",24704,16253,519,256,25223,16509,41732,599352,524383,1123735,1123735,1629,1481,16370,10990,27360,14372,5519,8853,3110,38622,15028,23594,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 1","85_100",28188,13866,455,193,28643,14059,42702,599352,524383,1123735,1123735,3208,1820,19800,9571,29371,13331,4488,8843,5028,37674,12239,25435,190739,932996,15951,1107784,89129,435254,101610,497742,8072,516311,7879,591473
"ROMA 2","00_04",22905,23817,4004,4187,26909,28004,54913,721182,673619,1394801,1394801,15,14,13,22,35,54878,27982,26896,29,54884,27990,26894,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","05_09",27039,28319,4511,4609,31550,32928,64478,721182,673619,1394801,1394801,6,7,30,36,66,64412,32892,31520,13,64465,32921,31544,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","10_14",28765,30808,3834,4081,32599,34889,67488,721182,673619,1394801,1394801,0,10,40,56,96,67392,34833,32559,10,67478,34879,32599,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","15_19",27819,29530,2696,3049,30515,32579,63094,721182,673619,1394801,1394801,0,15,52,126,178,62916,32453,30463,15,63079,32564,30515,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","20_24",26633,29717,2376,3864,29009,33581,62590,721182,673619,1394801,1394801,9,16,60,126,186,62404,33455,28949,25,62565,33565,29000,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","25_29",29377,32012,4543,5882,33920,37894,71814,721182,673619,1394801,1394801,10,15,82,159,241,71573,37735,33838,25,71789,37879,33910,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","30_34",34095,35239,6875,7792,40970,43031,84001,721182,673619,1394801,1394801,7,31,181,377,558,83443,42654,40789,38,83963,43000,40963,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","35_39",38838,39348,7856,9812,46694,49160,95854,721182,673619,1394801,1394801,26,39,472,927,1399,94455,48233,46222,65,95789,49121,46668,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","40_44",43839,43939,8158,9901,51997,53840,105837,721182,673619,1394801,1394801,37,91,1243,2304,3547,102290,51536,50754,128,105709,53749,51960,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","45_49",52129,49501,7670,7742,59799,57243,117042,721182,673619,1394801,1394801,73,190,3112,5087,8199,108843,52156,56687,263,116779,57053,59726,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","50_54",53469,49678,7301,5824,60770,55502,116272,721182,673619,1394801,1394801,161,331,6346,8913,15259,101013,46589,54424,492,115780,55171,60609,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","55_59",53430,48542,5491,3628,58921,52170,111091,721182,673619,1394801,1394801,262,541,10667,13887,24554,86537,38283,48254,803,110288,51629,58659,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","60_64",44958,39113,4166,2220,49124,41333,90457,721182,673619,1394801,1394801,390,824,13728,15785,29513,60944,25548,35396,1214,89243,40509,48734,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","65_69",38090,32433,2409,1217,40499,33650,74149,721182,673619,1394801,1394801,617,1067,16329,16806,33135,41014,16844,24170,1684,72465,32583,39882,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","70_74",35692,28876,1199,620,36891,29496,66387,721182,673619,1394801,1394801,979,1399,19711,17708,37419,28968,11788,17180,2378,64009,28097,35912,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","75_79",30114,22756,545,257,30659,23013,53672,721182,673619,1394801,1394801,1459,1535,19812,15624,35436,18236,7389,10847,2994,50678,21478,29200,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","80_84",28626,19132,285,134,28911,19266,48177,721182,673619,1394801,1394801,2164,1826,20906,13872,34778,13399,5394,8005,3990,44187,17440,26747,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 2","85_100",31243,15946,202,94,31445,16040,47485,721182,673619,1394801,1394801,4051,2271,23705,11818,35523,11962,4222,7740,6322,41163,13769,27394,260122,1134679,20488,1374313,123633,549986,136489,584693,10222,663397,10266,710916
"ROMA 3","00_04",10165,10931,1582,1659,11747,12590,24337,344470,314855,659325,659325,6,7,7,4,11,24326,12586,11740,13,24324,12583,11741,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","05_09",13275,13735,1837,1938,15112,15673,30785,344470,314855,659325,659325,0,0,14,16,30,30755,15657,15098,0,30785,15673,15112,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","10_14",14753,15593,1653,1777,16406,17370,33776,344470,314855,659325,659325,4,4,22,25,47,33729,17345,16384,8,33768,17366,16402,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","15_19",14034,15135,1272,1441,15306,16576,31882,344470,314855,659325,659325,0,0,30,55,85,31797,16521,15276,0,31882,16576,15306,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","20_24",13177,14554,1179,1709,14356,16263,30619,344470,314855,659325,659325,4,14,28,72,100,30519,16191,14328,18,30601,16249,14352,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","25_29",13323,14124,1835,2210,15158,16334,31492,344470,314855,659325,659325,7,6,37,69,106,31386,16265,15121,13,31479,16328,15151,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","30_34",14551,14727,2844,2921,17395,17648,35043,344470,314855,659325,659325,5,11,58,163,221,34822,17485,17337,16,35027,17637,17390,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","35_39",16823,16507,3665,4021,20488,20528,41016,344470,314855,659325,659325,5,16,183,343,526,40490,20185,20305,21,40995,20512,20483,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","40_44",20974,19508,4047,4214,25021,23722,48743,344470,314855,659325,659325,12,28,461,845,1306,47437,22877,24560,40,48703,23694,25009,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","45_49",26699,24504,4015,3371,30714,27875,58589,344470,314855,659325,659325,26,82,1548,2215,3763,54826,25660,29166,108,58481,27793,30688,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","50_54",27897,25646,3870,2721,31767,28367,60134,344470,314855,659325,659325,63,163,3109,4260,7369,52765,24107,28658,226,59908,28204,31704,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","55_59",25713,24264,2746,1752,28459,26016,54475,344470,314855,659325,659325,104,305,4838,6303,11141,43334,19713,23621,409,54066,25711,28355,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","60_64",20498,18081,2152,1150,22650,19231,41881,344470,314855,659325,659325,168,374,5896,6782,12678,29203,12449,16754,542,41339,18857,22482,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","65_69",17186,14588,1247,601,18433,15189,33622,344470,314855,659325,659325,226,464,6804,7187,13991,19631,8002,11629,690,32932,14725,18207,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","70_74",16967,13021,650,288,17617,13309,30926,344470,314855,659325,659325,391,661,8907,7618,16525,14401,5691,8710,1052,29874,12648,17226,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","75_79",15275,10963,330,128,15605,11091,26696,344470,314855,659325,659325,708,766,9716,7296,17012,9684,3795,5889,1474,25222,10325,14897,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","80_84",14003,9583,167,67,14170,9650,23820,344470,314855,659325,659325,1015,873,9928,6789,16717,7103,2861,4242,1888,21932,8777,13155,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 3","85_100",13940,7374,126,49,14066,7423,21489,344470,314855,659325,659325,1603,1020,10197,5417,15614,5875,2006,3869,2623,18866,6403,12463,117242,542083,9141,650184,55459,259396,61783,282687,4794,310061,4347,340123
"ROMA 4","00_04",5320,5812,813,886,6133,6698,12831,183637,175639,359276,359276,6,7,6,0,6,12825,6698,6127,13,12818,6691,6127,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
"ROMA 4","05_09",7184,7572,1052,1139,8236,8711,16947,183637,175639,359276,359276,0,0,0,4,4,16943,8707,8236,0,16947,8711,8236,64012,295264,4695,354581,31831,143808,32181,151456,2548,173091,2147,181490
