Argomento: Popolazione
Classi età: 80-84
Genere: Femmine
Anni¹: 2022


;2022
Montopoli Di Sabina;77
Montorio Romano;28
Moricone;46
Morlupo;171
Morolo;78
Morro Reatino;9
Nazzano;27
Nemi;34
Nepi;165
Nerola;33
Nespolo;3
Nettuno;924
Norma;88
Olevano Romano;125
Onano;26
Oriolo Romano;68
Orte;191
Orvinio;9
Paganico;7
Palestrina;384
Paliano;133
Palombara Sabina;221
Pastena;32
Patrica;65
Percile;8
Pescorocchiano;61
Pescosolido;40
Petrella Salto;30
Piansano;56
Picinisco;25
Pico;51
Piedimonte San Germano;83
Piglio;105
Pignataro Interamna;37
Pisoniano;25
Pofi;89
Poggio Bustone;49
Poggio Catino;28
Poggio Mirteto;145
Poggio Moiano;70
Poggio Nativo;59
Poggio San Lorenzo;9
Poli;49
Pomezia;1015
Pontecorvo;226
Pontinia;275
Ponza;70
Ponzano Romano;17
Posta;9
Posta Fibreno;37
Pozzaglia Sabino;15
Priverno;283
Proceno;16
Prossedi;19
Riano;153
Rieti;1171
Rignano Flaminio;167
Riofreddo;20
Ripi;111
Rivodutri;35
Rocca Canterano;4
Rocca D'Arce;25
Rocca Di Cave;10
Rocca Di Papa;258
Rocca Massima;26
Rocca Priora;212
Rocca Santo Stefano;25
Rocca Sinibalda;21
Roccagiovine;8
Roccagorga;91
Roccantica;16
Roccasecca;142
Roccasecca Dei Volsci;25
Roiate;11
Roma;66124
Ronciglione;190
Roviano;31
Sabaudia;383
Sacrofano;142
Salisano;13
Sambuci;14
San Biagio Saracinisco;9
San Cesareo;232
San Donato Val Di Comino;35
San Felice Circeo;231
San Giorgio A Liri;55
San Giovanni Incarico;75
San Gregorio Da Sassola;32
San Lorenzo Nuovo;67
San Polo Dei Cavalieri;47
San Vito Romano;77
San Vittore Del Lazio;50
Sant'Ambrogio Sul Garigliano;14
Sant'Andrea Del Garigliano;30
Sant'Angelo Romano;71
Sant'Apollinare;36
Sant'Elia Fiumerapido;127
Sant'Oreste;69
Santa Marinella;410
Santi Cosma E Damiano;120
Santopadre;34
Saracinesco;1
Scandriglia;61
Segni;213
Selci;29
Sermoneta;146
Serrone;51
Settefrati;16
Sezze;454
Sgurgola;68
Sonnino;180
Sora;568
Soriano Nel Cimino;177
Sperlonga;62
Spigno Saturnia;50
Stimigliano;47
Strangolagalli;48
Subiaco;192
Supino;97
Sutri;151
Tarano;35
Tarquinia;366
Terelle;8
Terracina;941
Tessennano;10
Tivoli;1078
Toffia;26
Tolfa;123
Torre Cajetani;20
Torri In Sabina;41
Torrice;107
Torricella In Sabina;36
Torrita Tiberina;28
Trevi Nel Lazio;41
Trevignano Romano;132
Trivigliano;16
Turania;8
Tuscania;192
Vacone;10
Valentano;80
Vallecorsa;59
Vallemaio;22
Vallepietra;7
Vallerano;59
Vallerotonda;39
Vallinfreda;11
Valmontone;231
Varco Sabino;5
Vasanello;67
Vejano;43
Velletri;1015
Ventotene;10
Veroli;383
Vetralla;272
Vicalvi;17
Vico Nel Lazio;33
Vicovaro;73
Vignanello;88
Villa Latina;38
Villa San Giovanni In Tuscia;21
Villa Santa Lucia;39
Villa Santo Stefano;30
Viterbo;1504
Viticuso;7
Vitorchiano;73
Vivaro Romano;7
Zagarolo;254

Fonte www.opensalutelazio.it
