Argomento: Popolazione
Classi età: 20-24
Genere: Maschi
Anni¹: 2022


;2022
Poggio Nativo;66
Poggio San Lorenzo;8
Poli;48
Pomezia;1671
Pontecorvo;368
Pontinia;417
Ponza;74
Ponzano Romano;30
Posta;14
Posta Fibreno;30
Pozzaglia Sabino;3
Priverno;351
Proceno;21
Prossedi;19
Riano;263
Rieti;1230
Rignano Flaminio;246
Riofreddo;22
Ripi;131
Rivodutri;29
Rocca Canterano;1
Rocca D'Arce;16
Rocca Di Cave;9
Rocca Di Papa;527
Rocca Massima;31
Rocca Priora;324
Rocca Santo Stefano;32
Rocca Sinibalda;17
Roccagiovine;6
Roccagorga;131
Roccantica;7
Roccasecca;179
Roccasecca Dei Volsci;29
Roiate;14
Roma;65039
Ronciglione;198
Roviano;29
Sabaudia;462
Sacrofano;189
Salisano;7
Sambuci;19
San Biagio Saracinisco;7
San Cesareo;384
San Donato Val Di Comino;34
San Felice Circeo;260
San Giorgio A Liri;84
San Giovanni Incarico;59
San Gregorio Da Sassola;33
San Lorenzo Nuovo;50
San Polo Dei Cavalieri;77
San Vito Romano;105
San Vittore Del Lazio;83
Sant'Ambrogio Sul Garigliano;13
Sant'Andrea Del Garigliano;26
Sant'Angelo Romano;132
Sant'Apollinare;43
Sant'Elia Fiumerapido;135
Sant'Oreste;80
Santa Marinella;398
Santi Cosma E Damiano;187
Santopadre;36
Saracinesco;4
Scandriglia;76
Segni;216
Selci;24
Sermoneta;256
Serrone;64
Settefrati;16
Sezze;661
Sgurgola;66
Sonnino;172
Sora;651
Soriano Nel Cimino;192
Sperlonga;62
Spigno Saturnia;69
Stimigliano;60
Strangolagalli;59
Subiaco;208
Supino;115
Sutri;159
Tarano;34
Tarquinia;359
Terelle;8
Terracina;1114
Tessennano;4
Tivoli;1363
Toffia;26
Tolfa;115
Torre Cajetani;34
Torri In Sabina;30
Torrice;121
Torricella In Sabina;30
Torrita Tiberina;27
Trevi Nel Lazio;65
Trevignano Romano;117
Trivigliano;40
Turania;5
Tuscania;204
Vacone;4
Valentano;66
Vallecorsa;50
Vallemaio;24
Vallepietra;2
Vallerano;68
Vallerotonda;26
Vallinfreda;8
Valmontone;368
Varco Sabino;1
Vasanello;93
Vejano;36
Velletri;1265
Ventotene;18
Veroli;508
Vetralla;316
Vicalvi;18
Vico Nel Lazio;38
Vicovaro;86
Vignanello;95
Villa Latina;24
Villa San Giovanni In Tuscia;27
Villa Santa Lucia;67
Villa Santo Stefano;44
Viterbo;1717
Viticuso;4
Vitorchiano;124
Vivaro Romano;6
Zagarolo;519

Fonte www.opensalutelazio.it
