Argomento: Popolazione
Classi età: 10-14
Genere: Femmine
Anni¹: 2022


;2022
Picinisco;28
Pico;53
Piedimonte San Germano;175
Piglio;92
Pignataro Interamna;54
Pisoniano;16
Pofi;70
Poggio Bustone;29
Poggio Catino;17
Poggio Mirteto;142
Poggio Moiano;67
Poggio Nativo;49
Poggio San Lorenzo;7
Poli;46
Pomezia;1638
Pontecorvo;299
Pontinia;371
Ponza;65
Ponzano Romano;25
Posta;5
Posta Fibreno;16
Pozzaglia Sabino;1
Priverno;321
Proceno;8
Prossedi;17
Riano;295
Rieti;979
Rignano Flaminio;289
Riofreddo;16
Ripi;123
Rivodutri;20
Rocca Canterano;0
Rocca D'Arce;20
Rocca Di Cave;14
Rocca Di Papa;432
Rocca Massima;19
Rocca Priora;321
Rocca Santo Stefano;16
Rocca Sinibalda;7
Roccagiovine;3
Roccagorga;85
Roccantica;9
Roccasecca;123
Roccasecca Dei Volsci;17
Roiate;7
Roma;63749
Ronciglione;189
Roviano;22
Sabaudia;496
Sacrofano;184
Salisano;8
Sambuci;18
San Biagio Saracinisco;5
San Cesareo;475
San Donato Val Di Comino;37
San Felice Circeo;170
San Giorgio A Liri;78
San Giovanni Incarico;57
San Gregorio Da Sassola;28
San Lorenzo Nuovo;43
San Polo Dei Cavalieri;60
San Vito Romano;52
San Vittore Del Lazio;49
Sant'Ambrogio Sul Garigliano;14
Sant'Andrea Del Garigliano;25
Sant'Angelo Romano;127
Sant'Apollinare;46
Sant'Elia Fiumerapido;131
Sant'Oreste;78
Santa Marinella;411
Santi Cosma E Damiano;162
Santopadre;22
Saracinesco;5
Scandriglia;62
Segni;205
Selci;17
Sermoneta;302
Serrone;76
Settefrati;10
Sezze;552
Sgurgola;59
Sonnino;158
Sora;524
Soriano Nel Cimino;168
Sperlonga;53
Spigno Saturnia;82
Stimigliano;47
Strangolagalli;46
Subiaco;176
Supino;106
Sutri;138
Tarano;31
Tarquinia;332
Terelle;2
Terracina;970
Tessennano;1
Tivoli;1422
Toffia;23
Tolfa;111
Torre Cajetani;31
Torri In Sabina;18
Torrice;125
Torricella In Sabina;17
Torrita Tiberina;27
Trevi Nel Lazio;21
Trevignano Romano;104
Trivigliano;40
Turania;2
Tuscania;188
Vacone;3
Valentano;39
Vallecorsa;48
Vallemaio;12
Vallepietra;7
Vallerano;44
Vallerotonda;20
Vallinfreda;5
Valmontone;423
Varco Sabino;1
Vasanello;105
Vejano;50
Velletri;1302
Ventotene;8
Veroli;456
Vetralla;289
Vicalvi;10
Vico Nel Lazio;51
Vicovaro;79
Vignanello;95
Villa Latina;23
Villa San Giovanni In Tuscia;22
Villa Santa Lucia;59
Villa Santo Stefano;32
Viterbo;1436
Viticuso;5
Vitorchiano;151
Vivaro Romano;1
Zagarolo;527

Fonte www.opensalutelazio.it
