Argomento: Popolazione
Classi età: 35-39
Genere: Maschi
Anni¹: 2022


;2022
Monte San Biagio;217
Monte San Giovanni Campano;362
Monte San Giovanni In Sabina;16
Montebuono;22
Montecompatri;393
Montefiascone;364
Monteflavio;28
Montelanico;48
Monteleone Sabino;32
Montelibretti;124
Montenero Sabino;6
Monterosi;152
Monterotondo;1315
Montopoli Di Sabina;124
Montorio Romano;62
Moricone;78
Morlupo;238
Morolo;117
Morro Reatino;3
Nazzano;34
Nemi;42
Nepi;263
Nerola;52
Nespolo;6
Nettuno;1527
Norma;110
Olevano Romano;212
Onano;24
Oriolo Romano;110
Orte;259
Orvinio;10
Paganico;3
Palestrina;756
Paliano;233
Palombara Sabina;406
Pastena;45
Patrica;100
Percile;6
Pescorocchiano;59
Pescosolido;40
Petrella Salto;33
Piansano;70
Picinisco;34
Pico;63
Piedimonte San Germano;219
Piglio;129
Pignataro Interamna;86
Pisoniano;22
Pofi;107
Poggio Bustone;57
Poggio Catino;42
Poggio Mirteto;186
Poggio Moiano;102
Poggio Nativo;92
Poggio San Lorenzo;17
Poli;74
Pomezia;2019
Pontecorvo;387
Pontinia;546
Ponza;127
Ponzano Romano;45
Posta;23
Posta Fibreno;32
Pozzaglia Sabino;9
Priverno;453
Proceno;20
Prossedi;38
Riano;334
Rieti;1254
Rignano Flaminio;291
Riofreddo;22
Ripi;144
Rivodutri;31
Rocca Canterano;4
Rocca D'Arce;29
Rocca Di Cave;16
Rocca Di Papa;591
Rocca Massima;35
Rocca Priora;383
Rocca Santo Stefano;35
Rocca Sinibalda;25
Roccagiovine;11
Roccagorga;142
Roccantica;19
Roccasecca;225
Roccasecca Dei Volsci;19
Roiate;11
Roma;81307
Ronciglione;251
Roviano;31
Sabaudia;715
Sacrofano;206
Salisano;15
Sambuci;28
San Biagio Saracinisco;9
San Cesareo;594
San Donato Val Di Comino;61
San Felice Circeo;337
San Giorgio A Liri;100
San Giovanni Incarico;95
San Gregorio Da Sassola;43
San Lorenzo Nuovo;49
San Polo Dei Cavalieri;88
San Vito Romano;102
San Vittore Del Lazio;82
Sant'Ambrogio Sul Garigliano;35
Sant'Andrea Del Garigliano;45
Sant'Angelo Romano;128
Sant'Apollinare;57
Sant'Elia Fiumerapido;185
Sant'Oreste;96
Santa Marinella;497
Santi Cosma E Damiano;206
Santopadre;39
Saracinesco;4
Scandriglia;125
Segni;263
Selci;38
Sermoneta;344
Serrone;95
Settefrati;28
Sezze;806
Sgurgola;70
Sonnino;250
Sora;766
Soriano Nel Cimino;210
Sperlonga;89
Spigno Saturnia;76
Stimigliano;80
Strangolagalli;75
Subiaco;280
Supino;163
Sutri;186
Tarano;39
Tarquinia;470
Terelle;14
Terracina;1562
Tessennano;7
Tivoli;1710
Toffia;31
Tolfa;146
Torre Cajetani;40
Torri In Sabina;27
Torrice;142
Torricella In Sabina;36
Torrita Tiberina;24
Trevi Nel Lazio;73
Trevignano Romano;161
Trivigliano;48
Turania;8
Tuscania;252
Vacone;5
Valentano;86
Vallecorsa;65
Vallemaio;27
Vallepietra;12
Vallerano;64
Vallerotonda;37
Vallinfreda;11
Valmontone;563
Varco Sabino;9
Vasanello;137
Vejano;50
Velletri;1676
Ventotene;29
Veroli;608
Vetralla;410
Vicalvi;29
Vico Nel Lazio;76
Vicovaro;124
Vignanello;102
Villa Latina;41
Villa San Giovanni In Tuscia;34
Villa Santa Lucia;74
Villa Santo Stefano;55
Viterbo;1984
Viticuso;9
Vitorchiano;169
Vivaro Romano;0
Zagarolo;589

Fonte www.opensalutelazio.it
